user_country,source,content,date
"San Diego, CA",Twitter for iPhone,"I don’t see “Bad things Obama said about me!” Or “Leslie Stahl was a meanie!” here anywhere? The topics for discussion over 90 uninterrupted minutes: 9 p.m. ET,  ""Fighting COVID-19,"" ""American Families,"" ""Race in America,"" ""Climate Change,"" ""National Security"" and ""Leadership."" https://t.co/OMnyF3gURU",2020-10-22T23:06:50+00:00
United States,Twitter Web App,Tonight's #PresidentialDebate topics include:  - Fighting COVID-19 - American families - Race in America - Climate change - National security - Leadership  Wanna get some reading in before the debate? Start here with candidates on the issues: https://t.co/X59KoZQdza #Debates2020 https://t.co/jPl6PnIyIQ,2020-10-22T23:06:41+00:00
"Washington, DC",Twitter Web App,"This was supposed to be the third debate, but Trump backed out of last week's event after it was moved to a remote format following his coronavirus diagnosis.  Tonight's six topics: Fighting COVID-19 American families Race in America Climate change National security Leadership",2020-10-22T23:06:39+00:00
Portugal,Twitter Web App,Temas:  1. Fighting coronavirus  2. American families 3. Race in America 4. Climate change 5. National security 6. Leadership,2020-10-22T23:06:27+00:00
,Twitter for iPhone,I’ll make a bet with you @realDonaldTrump will not answer any of these questions or offer solutions.  following topics : •Fighting COVID-19 •American Families •Race in America •Climate Change •National Security •Leadership,2020-10-22T23:06:21+00:00
SOUTHWEST,Twitter Web App,"They said he’s made race relations worse in America. He hasn’t, but the media and their Democrat allies work hard every day to promote our country’s racial discord, and in doing so exacerbate it. https://t.co/4KtV37SA4V",2020-10-22T23:06:10+00:00
,Twitter Web App,"CBS News: The topics for the October 22 debate will include: COVID-19 American Families Race in America Climate Change National Security Leadership Rehashing the same topics Wallace went over? Talk about China!!, Taiwan, Hong Kong, India, South Seas takeovers!!! Real threats!!!",2020-10-22T23:05:46+00:00
"San Francisco, CA",Twitter Web App,"The third and final US presidential debate will take place today from 9:00-10:30 PM ET at Belmont University in Nashville, Tennessee.  Moderator: Kirsten Welker Topics: Fighting COVID-19, American Families, Race in America, Climate Change, National Security and Leadership.",2020-10-22T23:04:24+00:00
"Brooklyn,USA",Twitter for iPhone,Ironically whats happening in Nigeria just goes to show most issues with inequality have more to do with access to capital than race... in nigeria you have elite blacks doing what would be considered “white supremacy” in america....,2020-10-22T23:03:08+00:00
"American Fork, Utah",SocialPilot.co,"Debate commission announces topics for final debate between Trump and Biden - CNN. The topics are: ""Fighting COVID-19,"" ""American Families,"" ""Race in America,"" ""Climate Change,"" ""National Security"" and ""Leadership. https://t.co/9uEugIQgct #debate #election",2020-10-22T23:01:29+00:00
The Seven Seas ,Twitter for iPhone,"Most Africans I’ve talked to enjoy seeing people of other race partake in their culture. And me being In the military I’ve met a lot of REAL Africans, not the people born in America who say they’re “African American”",2020-10-22T22:52:16+00:00
