user_country,source,content,date
Royaume-Uni,Twitter for Android,@shaylekann Thanks for sharing @shaylekann ! What are your views about the split between hardware vs software climate tech disruption? Do you think hardware will have harder times attracting capital? But will they be more powerful to tackle climate change? Very curious to get your opinion,2020-10-22T23:57:37+00:00
"San Diego, CA",Twitter for iPhone,@voxdotcom Covid: Trump failed to lead &amp; people died.  American families: trump cheated on Melania Race in America: trump is a #RacistInChief Climate change: trump doesn’t believe in science  National Security: trump is a Russian 🤖  Leadership: trump hired all the best people. Now in jail,2020-10-22T23:57:33+00:00
,Twitter for iPhone,"@darialadiosa UNPOPULAR OPINION (from a non vegan myself): It’s probably the more efficient way in stopping climate change compared to limiting fossil fuel usage.  My wife is a vegan, btw, even if I might be. I do enjoy the plant-based cuisines and certainly philosophies, nonetheless.",2020-10-22T23:57:20+00:00
your moms house,Twitter for iPhone,"no hate or anything but some people will rlly say ""there's only two genders, that's science"" then turn around and deny climate change",2020-10-22T23:57:12+00:00
,Twitter Web App,"@WorldWarZeroOrg Barrett: ""I'm certainly not a scientist. I have read things about climate change. I would not say I have firm views on it.""  She also claimed she doesn't know Trumps position on climate change.  We don’t need a climate denier and liar on the Supreme Court.",2020-10-22T23:57:11+00:00
Seattle ,Twitter for iPad,"Colorado is my home state, my dad still lives there. I asked him if the ppl he knows who deny climate change will change their minds now, he says nope probably not   #Colorado #ColoradoFires #EstesParkfires #TroublesomeFire #ClimateEmergency #EstesParkevacuation #ClimateCrisis https://t.co/xVPgxbYthG",2020-10-22T23:57:07+00:00
,Twitter Web App,"Kristen Welker, moderator, has selected the topics.  1)Fighting COVID-19 2)American Families 3)Race in America 4)Climate Change 5)National Security 6)Leadership  The debate will start at 9:00 p.m. ET and run for 90 minutes.   https://t.co/UbwZBMgxvi",2020-10-22T23:57:02+00:00
"Sydney,  AU",Twitter Web App,"@KleinRevd @ScottMorrisonMP @jacindaardern About as likely as him acknowledging the threat of climate change.   As he put,  ""I just learned not to care. """,2020-10-22T23:57:02+00:00
,Twitter Web App,"@Dank_H2O @pppapin @ColoradoClimate Exactly. California burned an estimated 4.5 million acres every. single. year. prior to 1850, but modernists try to pawn these large fires off as humanity's fault.  And they are humanity's fault: poor forest management and aggressive modern firefighting - not climate change.",2020-10-22T23:56:56+00:00
Hong Kong,Twitter for iPhone,Attenborough polar ship sets sail for Antarctica Are these scientists prepared to tell us the truth? Even if the truth is opposite to the claim of climate change?  https://t.co/HNMp9bASXi,2020-10-22T23:56:40+00:00
