user_country,source,content,date
"IL, District 16",Twitter for iPhone,"@scottstev @awprokop Right. Also, we didn't see anything unusual in more than a decade of Joe's tax returns. He doesn't have dozens of L.L.C.s to launder money through like Trump does. lol",2020-10-22T23:59:57+00:00
United States,Twitter for Android,@revision29 @SWNID Except Joe's taxes show he HASN'T been involved in these business ventures the only evidence that he has are half cocked emails being interpreted by a proTrump stooge,2020-10-22T23:59:57+00:00
,Twitter Web App,"@AugustCohen4 @AndrewCMcCarthy @DonaldJTrumpJr I mean, there are many ways people shield money from tax returns lol. Thats no defense.",2020-10-22T23:59:57+00:00
"Chesapeake, VA",Twitter for iPhone,Why do the BAFOONS on the left keep saying Biden doesn’t have the China millions on his “tax returns” so he’s innocent. Nobody puts illegal $ down as income. That’s what makes them CRIMINALS! Do they really think we’re that stupid? #BidenCrimeFamiily #CorruptJoeBiden #ChinaJoe https://t.co/uv10ED92fu,2020-10-22T23:59:56+00:00
"IMPEACHED, FOREVER",Twitter for Android,"@sjsturkie @NicholasNieblas @FlyStatement @JamieStuedemann @marklevinshow I wonder what modern day Trump supporters would do with at the Boston tea party. Hate taxes but also hate protesting. 🤔 I guess just complain rudely like Mark does, huh? 🤷‍♂️",2020-10-22T23:59:56+00:00
,Twitter for Android,"Trump Is a 'Hypocrite' for Reportedly Paying China 188K in Taxes While Paying Only Hundreds to the U.S., Says Bernie Sanders https://t.co/4BpCvJrlUk",2020-10-22T23:59:55+00:00
,Twitter Web App,"So looking at the many options at ""food delivery"" UbetEats has a broken app that says I exist but no way to log in to an account, and DoorDash is like ""ok first order no delivery fee, but minimum tip 7 dollars and our taxes Is about 10 to what ever you order""",2020-10-22T23:59:54+00:00
,Twitter for iPad,"I consider this to be the Humane thing to do, instead of the approach Immigration Authorities are presently pursuing. Furthermore, it will also save the Tax Payers lot of money, which is being currently spent in taking care of these Children and searching for their Parents.",2020-10-22T23:59:54+00:00
1930's Germany pt.2,Twitter Web App,"@notcapnamerica I know right! 47 million Americans voted already... These Republicans need to take a seat. Just saw a commercial about  ""They're coming for your tax dollars"" We don't have jobs to pay taxes into, Bissh!! https://t.co/dCiY1YQ7I7",2020-10-22T23:59:53+00:00
Morocco,Twitter for Android,@3XS0 @sectest9 = Changing legislation in favor of the poor. Dismantling big companies. Taxes of the rich and the elite. Supporting the working class. The seizure and renewal of power. Development of self and human development. Seminars.  Conferences.  The lectures.  Communication.  ... Dominate,2020-10-22T23:59:53+00:00
