user_country,source,content,date
,Twitter for Android,Lefty friends if you see this RT with #ClimateChange 👍🏼 @MarcusJamesCage  @MarisaOzbat  @marzelyse @Masktchi  @Masmarco02 @mathemattic @MattCGreene @mauigirl8888 @McAuleyATL  @meatballsubzero @MeditateBernie @Mesheekah @michaelbrandow @Mi11enia1Fa1c0n @mmmaaaaattttt @mobygrapefan https://t.co/uECrKImHdQ,2020-09-29T23:59:59+00:00
,Twitter Web App,"@AndrewLoveUS @johnlegend  who lectures us about climate change from his 10,000 square foot home? 😂  He has no original thoughts; in #Hollywood it's cool to hate #Trump.    It's also cool to live in a home with more sq footage than a mini-mall and lecture everyone else about the environment.",2020-09-29T23:59:52+00:00
"Toronto, Canada",Twitter for Android,@GetRealNS @nationalpost I'm extremely doubtful that we'll do much more than kill the economy for feel-good green initiatives. Then we can move into the woods and start over while climate change continues to rage. I'll take a working economy over extreme poverty and lack of services any day.,2020-09-29T23:59:42+00:00
"San Diego, CA",Twitter for iPad,"Shalom and MHNCB, Truth Be Told will be streaming live. Tonight's topic is           “Climate change, Man or God?” Watch or listen from your phone, tablet or computer. The show will air every Tuesday. Please share this on all of your social networks. https://t.co/50B11LPQcb",2020-09-29T23:59:41+00:00
"Washington, USA",Twitter Web App,@JStein_WaPo how to address climate change systemic racism COVID response including economic stimulus,2020-09-29T23:59:33+00:00
"Crossville, TN",Twitter for Android,@BoSnerdley From what I've seen of a lot climate change whackos I'm glad they're not breeding. Brings doen the rest of the gene pool.,2020-09-29T23:59:27+00:00
"Islamabad, Pakistan (not really)",Twitter Web App,I am in the capital today discussing the options of pursuing climate change reform. We understand this is a serious problem and it is our goal to try to do our part in the world.  https://t.co/y8J3iRcpSb,2020-09-29T23:59:25+00:00
Always QUESTION ,Twitter for Android,"@Tokyo_Tom @MikeDel21893959 @Bananenrijperij @manifesto2000 @show_sharp @Chamaa @SpurglyD @JamesRider3 @Anvndarnamn5 @HtServadac @Jamz129 @AfterbirthDerf @91996340e81d45a @no2wind @ricksheatcool @TheDisproof @Chaologistician @RichardBigg7 @DrUmeshPrabhu @tui_malila @jwickers @ZSRenn @MATTP1949 @ammocrypta @TruePat89736316 @Schtickery @Climatehope2 @B_Bolshevik100 @toddynd @nooil4pacifists @KCTaz @r_hartman @BridgetHolmstro @aSinister @Mark_A_Lunn @nicolasDenver @eric84701331 @LovePeaceJusti1 @dan613 @Over400ppm @RelampagoBlanc2 @PaprikaLady @OscarsWild1 @fishyfish67 @UsaParents @TQMKA @DeborahDiltz @AtomsksSanakan @Jaisans @drjaylott1 Yeah, genius.... It means Snow is now created by heat.... It was #climatechange when Eagle pepple in Antarctica went bald..... Look what Google puts up when asked for Eagle Island, Antarctica temperature..... 😂 😂 😂 😂 😂 https://t.co/hYFITpuQ8z",2020-09-29T23:59:19+00:00
"Florida, USA",Twitter for iPad,Please address climate change! https://t.co/XV1gFgb5IV,2020-09-29T23:59:17+00:00
,Twitter for Android,Lefty friends if you see this RT with #ClimateChange 👍🏼 @Langer916 @laura78914 @Leah35766015 @left2a @leftistvoices @Leftists4Office @LilAntifascist @lilradishn @lionellsays @lisaenglishsays @litsocialist @Mackeyser @MalfunctionMaj @mandicrat @Manic_Midby @mariecountryman https://t.co/NFwq2oIHto,2020-09-29T23:59:16+00:00
Japan,Twitter Web App,"Those who do not believe in climate change are descendants of religious people who believed in the Ptolemaic theory in the Middle Ages. Even if you deny science, there is only one truth.",2020-09-29T23:59:13+00:00
,Twitter for Android,"@davidaxelrod Nope. Homeless epidemics globally, child starvation and poverty globally present and climate change violations daily.....two guys berating each other in the name of global leadership and unification?... https://t.co/x2HAw3PDXT",2020-09-29T23:59:07+00:00
"Cobourg, Ontario  🇨🇦",Twitter for Android,@JilMcIntosh Not decorations. Climate change. Santa has relocated farther south due to lack of Arctic ice.,2020-09-29T23:58:57+00:00
Canberra,Twitter for Android,Narrabri gas project approved today will do little to lower gas prices and alot to make climate change worse  Remember 'energy security' according to gas lobby is more gas 👇  This is after they tripled gas supply on East Coast in 10yrs  and sent most of it overseas  #auspol https://t.co/vHMZ0OW8Uh,2020-09-29T23:58:50+00:00
"Ottawa, Ontario",Twitter Web App,"@Carbongate Only if it was true... unfortunately, it is just another crock of... denial.  Listen to the science... not to denial blogs  - #clmatecrisis 🆘#climatebrawl #climatechange",2020-09-29T23:58:49+00:00
"Boston, MA, USA",SocialFlow,"Here’s where Donald Trump and Joe Biden stand on the impact of natural disasters, environmental justice, the Green New Deal, carbon tax and the US role in the fight against climate change. By @benpiven  #Debates2020 https://t.co/3uYGAznmQV",2020-09-29T23:58:48+00:00
,Twitter for iPad,We all need a laugh. #COVID19 #ClimateChange #cdnpoli https://t.co/FJPkBJBzM3,2020-09-29T23:58:44+00:00
Fairfield County Connecticut ,Twitter for Android,@Ilhan Arsenal is not considered climate change,2020-09-29T23:58:25+00:00
Seattle and Puget Sound Region,Twitter for iPhone,ICYMI - Wonkabout Washington: The Climate Change/Land Use Nexus and Washington Can’t Wait https://t.co/cfOngavfIx,2020-09-29T23:58:20+00:00
🇺🇸 USA,Twitter for Android,@Ilhan Haven't they already arrested several people for setting those climate change fires?,2020-09-29T23:58:18+00:00
,Twitter Web App,@farmishly @CPC_HQ @DerekSloanCPC @erinotoole Pyro-Cb #wildfires also release a tremendous amount of energy. #climatechange https://t.co/r42Kn7Bqlg,2020-09-29T23:58:12+00:00
Australia & New Zealand,Twitter Web App,"By joining Business for Nature’s “Call to Action”, WSP is sending a message that thriving communities and resilient economies rely on healthy ecosystems and are underpinned by #biodiversity : https://t.co/2G8t87FcG5 Because #NatureIsEveryonesBusiness #ClimateChange #WeAreWSP https://t.co/aD3776n1Y2",2020-09-29T23:58:10+00:00
SoCal ,Twitter Web App,"Oh, I agree. The only purpose for these debates is to get ratings for the news networks -- speaking of which, they also choose the questions, and it was the same 4, 8, and 12 years ago -- NO questions on climate change. https://t.co/BME4MOOvJi",2020-09-29T23:58:09+00:00
,Twitter Web App,@GeraldKutney It’s the electorate that vote them in and until the electorate realise that climate change is here and stop falling for empty promises..........well they had better wise up fast.,2020-09-29T23:58:00+00:00
"North Carolina, USA",Twitter for iPhone,"Why. Why do I love coffee so much. It’s bean water. That comes from so many different places, with so many different flavors. That touch my soul. Pls don’t let climate change take it away. I NEED it. Do you understand? If it was a man, I’d marry it. #NationalCoffeeDay",2020-09-29T23:57:59+00:00
"Washington, DC",Twitter Web App,The Arizona Students’ Association said students want to hear the candidates’ plans for #ClimateChange among other issues tonight. Dear #debate moderators: It is time to #AskAboutClimate. https://t.co/C5RcCerteC via @azcentral,2020-09-29T23:57:47+00:00
,Twitter for Android,Lefty friends if you see this RT with #ClimateChange 👍🏼 @jbluvs2fly  @JJannaK @JJisASocialist @JomzTheSweener @jonnyboyca @jordan_fellas @JRKiefer1 @Jscott1145 @jzoia @K810Mt @Karlmarxhd @kamisgeorge @kat_paro @katalin_pota @KayJCook @KillTheCorpora @KirkPratt3 @ks_woke @ktlyn_r https://t.co/APdewel9E3,2020-09-29T23:57:36+00:00
San Francisco,Twitter Web App,Here's horrifying and revealing stat: It’s been 12 years since debate moderators asked a question about climate change https://t.co/dcFKIsmlEc #environment #feedly,2020-09-29T23:57:34+00:00
"Virginia, USA",Twitter Web App,"Let's elect a president who believes in science and is fighting to end the climate change, not denying it exists.  Let's elect Joe Biden. https://t.co/MOsNyelLvB",2020-09-29T23:57:29+00:00
"Dallas, TX",Twitter Web App,"For the second year in history, we see storms with Greek names. The only other time this has happened was 2005 (Alpha-Zeta).  Remember: Climate change affects these natural phenomena, but WE are responsible for the disasters that follow.  #NoNaturalDisasters https://t.co/jrzu9oH1C0",2020-09-29T23:57:24+00:00
,Twitter Web App,"@PeterGleick @atrembath @Revkin @SavorTooth @TedNordhaus @AC4Columbia @usgsJWP TBF, that *wind graph* doesn't look that great in recent years.  But this, coupled with other Alex's points might just suggest that addressing climate change is more difficult than most people are willing to admit.",2020-09-29T23:57:24+00:00
Leelanau,Twitter for Android,@voxdotcom I'm surprised climate change isn't on the list.,2020-09-29T23:57:20+00:00
