user_country,source,content,date
"Rural Hall, North Carolina, USA",Twitter Web App,#politics ROBERT REICH on POLITICS and MORE #DonaldTrump #FOXNews #RobertReich #USeconomy #worstpresidentinhistory https://t.co/IB00fX2EUT,2020-09-29T23:48:53+00:00
"Seattle, WA",Hootsuite Inc.,"In its #nowcast dated Sept. 29th, 2020, @TheEIU says the #US #economy for Q3 2020 weakened to 3.49% (quarter-on-quarter) as of last week, compared with 3.54% during the week ending Sept. 18th https://t.co/aO60jgL35d",2020-09-29T23:48:18+00:00
,Twitter Web App,"@nytimes Seems to have all started going backwards around the time Obama was elected and China started pillaging the US economy under his watch, I suspect all billionaires outside big tech would be in a similar situation.",2020-09-29T23:47:38+00:00
,Twitter for Android,No one: The US Economy: 🎵Now from the top. Make it drop🎵 https://t.co/2jglp4AWPJ,2020-09-29T23:46:37+00:00
TOOK ANOTHER 100 REAL # +773👇,Twitter for Android,@CreasonJana @usmade1001Deb Sunday 4:30am on Turner Classics is Inflation 1942 Adolf Hitler &amp; the Devil develop a plot to Destroy the US Economy. Sounds like today's DNC. Just saw it listed.,2020-09-29T23:45:39+00:00
"Knoxville, TN",Twitter for iPhone,@EricTrump Your daddy killed the US economy!,2020-09-29T23:45:04+00:00
,Twitter Web App,@ericgarcetti Maybe Biden will shut down the US economy like you have shut down the LA economy and we will have a Great Depression!!  Like you are creating in LA!!,2020-09-29T23:44:59+00:00
,Twitter Web App,"@DontAskNotWorth @GOP @GMC @Chrysler @LindseyGrahamSC Back to #BIDEN! He Helped #Obama RESCUE The USEconomy From the #GreatRecession we Went Into Bc #GWBush &amp; @SenateGOP &amp; @HouseGOP went Spend Crazy w/PIG Troughs, #TwoWars MoscowMitch Did NOT Include IN the USBudget, &amp; a MASSIVE #TaxCut! Stock Market Crashed. So Obama/Biden SAVED US",2020-09-29T23:44:48+00:00
United States,Twitter Web App,"@Davidlaz @King_Of_Shade Um, Bankrupcy is NOT an option for the US economy once you have bled it dry!",2020-09-29T23:38:12+00:00
"New York, USA",Twitter for iPhone,"@nytimes This is all that matters, objective factual economics during the Trump administration, pre-covid. Record setting US economy statistics... https://t.co/VURNYtcOa4",2020-09-29T23:35:00+00:00
San Francisco (via OKC),Twitter for iPad,"Racism and discrimination isn’t just pushing Black people into a cycle of poverty, it’s also devastating the US economy to the tune of $16T.  https://t.co/A3l4Gx9nWp",2020-09-29T23:34:24+00:00
,Twitter for Android,"@TakeAHikeJ @dahnb2010 @MeetThePress @mikememoli The Dow Jones Index. Pretty much the same growth since the GFC, which Obama dragged the US economy out from. Trump rode Obamas coat tail of reforms including the regulations that kept the banks (which caused the GFC) from repeating itself.  Trumps great economy is fake. https://t.co/SRhbn9Nu3s",2020-09-29T23:32:41+00:00
Angola,Twitter Web App,When Obama took office from GWB the US economy was losing hundreds of thousands of jobs per month... he assumed a #CrisisOfCapital. When Biden takes office he will be handed compounding crises. When Republicans control the Oval they cannot help themselves from tanking our economy,2020-09-29T23:32:41+00:00
Everywhere,HEDGEP,"‘Abject incompetence’: NYC mayor postpones school opening at last minute AGAIN, triggering parental rage https://t.co/8ljyStJaEo    Published on September 17, 2020@4:31pm  #us-economy",2020-09-29T23:31:02+00:00
Gulf of Mexico,Twitter for iPhone,@thehill @drmaggiesa So...someone cared enough about business and the US economy and got fired for it? Got it.,2020-09-29T23:23:40+00:00
,Twitter Web App,"Joe Senile Biden Has 5 Decades of Failures For Americans. VS TRUMP 1st 4 years of Rebuilding US Economy with Unlimited Growth and Increase of Americans 401, Building Border Wall. Lower Drug Cost, Stronger Military, Low Taxes, Pay increase just too many accomplishments to mention",2020-09-29T23:21:00+00:00
"Florida, USA",Twitter Web App,Why Joe Biden is better than Donald Trump for the US economy | Nouriel Roubini https://t.co/GzhIpAzS1s,2020-09-29T23:20:03+00:00
,Twitter Web App,Jewish Democratic Council compares Trump's America to 1930s Germany in new ad https://t.co/GSI3kNTOpC  What does JDC get out of helping Socialists to crash the US economy by peddling this bullshit? Maybe we should let Israelis come here and send Progressives to Israel for IDF.,2020-09-29T23:16:15+00:00
,Twitter Web App,Why Joe Biden is better than Donald Trump for the US economy | Nouriel Roubini https://t.co/ubgvs7j6Az,2020-09-29T23:15:02+00:00
United States ,Twitter for Android,The US economy has now been hit by the biggest economic contraction ever recorded and the highest unemployment rate in more than 80 years. This is a FACT. Trump tanked our economy in jst 3.5 yrs,2020-09-29T23:14:19+00:00
Florida,Twitter for Android,The US Economy's Electrocardiogram's Readout Actually Showed a Faint Blip Today The First Time In 3 Months of Being Virtually Flatlined For 12 Straight Weeks,2020-09-29T23:12:34+00:00
,Twitter Web App,Why Joe Biden is better than Donald Trump for the US economy | Nouriel Roubini https://t.co/yX8xN3hqnc,2020-09-29T23:12:27+00:00
Oostvoorne,Twitter Web App,Why Joe Biden is better than Donald Trump for the US economy | Nouriel Roubini https://t.co/BIX6RWrG1u,2020-09-29T23:10:46+00:00
"Medford, MA",Twitter Web App,"Tonight in #Debates2020, candidates will need to address how policy can address COVID-19's damage to the US economy – in our EconoFact Chats discussion, Greg Mankiw @gregmankiwblog at @Harvard discusses these policy challenges and what steps are needed. https://t.co/3FgPcsZ8tK",2020-09-29T23:08:29+00:00
"Arizona, USA",Twitter for iPhone,Why Joe Biden is better than Donald Trump for the US economy https://t.co/k6bnO8olUU,2020-09-29T23:06:47+00:00
愛知 名古屋市 守山区,Twitter for iPhone,Data v spin: The truth about Trump and the US economy | US &amp; Canada News | Al Jazeera https://t.co/LhtuAIWC1Y,2020-09-29T23:02:25+00:00
America,Twitter Web App,@Rockprincess818 @SKYRIDER4538 @JoeBiden That's exactly the point.  DEMS POWER-GRABBED 1/6TH OF THE US ECONOMY.,2020-09-29T23:02:05+00:00
"Vancouver, British Columbia",Twitter for Android,"@RationalOne3 @jarodb144 @joerogan @TimKennedyMMA The majority of Americans do not live with freedom from harm. The way things are going, you will be affected eventually. Unless you're one of the parasites living off shares trading.  Even those will dry up when the entire US economy collapses in on itself.  Not bitter, concerned",2020-09-29T23:01:09+00:00
,Twitter Web App,"@maggieNYT It could use some drifting to the left.   For decades now we see the US economy doing better under Democratic leaders than Republican, yet the Chamber has consistently supported Republicans.",2020-09-29T23:00:02+00:00
"Lagos, Nigeria",Twitter Web App,Citigroup says racism has cost US economy $16 trillion https://t.co/eJcmTELYj7 via @nypost,2020-09-29T22:58:20+00:00
,Twitter Web App,Why Joe Biden is better than Donald Trump for the US economy | Nouriel Roubini https://t.co/BOr6sTakPb,2020-09-29T22:55:25+00:00
,Twitter for Android,@Nouriel Who cares? US economy already on the final legs regardless of who wins,2020-09-29T22:55:03+00:00
"California, USA",Twitter for iPhone,Why @JoeBiden is better than ⁦@realDonaldTrump⁩ for the US economy https://t.co/jHaegZFgDQ,2020-09-29T22:53:52+00:00
"Palm Bay, FL",Twitter Web App,Why Joe Biden is better than Donald Trump for the US economy | Nouriel Roubini https://t.co/llZg1N89y0,2020-09-29T22:50:26+00:00
,Twitter Web App,Why Joe Biden is better than Donald Trump for the US economy | Nouriel Roubini https://t.co/fMiI97DWdv,2020-09-29T22:49:34+00:00
