user_country,source,content,date
Probably asleep,Twitter for iPhone,she was the first Justice to preside over gay marriages and may have officiated the first same-sex marriage at the Supreme Court.,2020-09-29T23:59:53+00:00
,Twitter Web App,"…Supreme Court where Republicans managed to get the majority number of judges, Economy which got hit by pandemic and most importantly the race issue in the country which had led to fierce protest and violence across the cities.  #PresidentialDebate2020",2020-09-29T23:59:51+00:00
,Twitter Web App,@JoeBiden If Obamacare is so awesome why would anyone want to throw it out?  Why would you be worried about the Supreme Court throwing it out if it's legit?  I recall you sneaking it in and forcing America to use the over priced crap.  Thanks Joe for nothing.,2020-09-29T23:59:50+00:00
"Richmond, CA",Twitter for iPhone,@BidenWarRoom Please focus on the Supreme Court. The National attention has shifted toward that.,2020-09-29T23:59:47+00:00
,Twitter for iPhone,@Jordanfabian @jdawsey1 Someone should confront Trump as to whether his 9/24 statement was true. He wont admit he made a mistake or was lying and would likely blame Barrett as having been wrong or confused on her forms. That would pretty much undermine her as a nominee for Supreme Court.,2020-09-29T23:59:47+00:00
LifeLibertyPursuitOfHappiness,Twitter for iPhone,This is why Trump must appoint a conservative justice immediately &amp; insure that if America somehow elects Democratic leadership in the House &amp; Senate but loses the Presidency we know we will not experience the same fate as the Supreme Court of the United States would not allow it,2020-09-29T23:59:46+00:00
"Washington, DC",Twitter for iPad,Supreme Court Nominee Barrett Tied to Group That Subjugates Women to Their Husbands @heraldleader @thestate @postandcourier @sunherald @JxnFreePress  @stltoday @StLouisAmerican @LouisvilleTimes @PittsburghPG  @AltoonaMirrorLA @jaxdotcom @HeraldTribune   https://t.co/DrUzEMf8Lg,2020-09-29T23:59:39+00:00
"Seattle, WA",Instagram,Let the world know that you stand with RBG’s wish to wait to fill HER vacancy with the Respect RBG’s Wish mask. Link in bio.   #mask #rbg #notoriousrbg #supremecourt #justice #supremecourt https://t.co/yXzByj1niP,2020-09-29T23:59:37+00:00
,Twitter Web App,"@realDonaldTrump @tedcruz Judge Barrett is a person with class, grace and dignity. She is an expert in the laws of the United States. She will do well as a Supreme Court Judge.",2020-09-29T23:59:29+00:00
California,Twitter for Android,@BryonHisel @KamalaHarris @JoeBiden You mean the guy that cried and whined and called his hearing a Democratic conspiracy to keep him for becoming a Supreme Court Judge??? You mean that guy? That was disrespectful towards the Senators?? That guy??  Yeah he should never had become a Supreme Court Judge.,2020-09-29T23:59:26+00:00
Pocket,Twitter for iPhone,@smarlie__chith @axios Supreme Court seat is not Make A Wish Foundation,2020-09-29T23:59:24+00:00
United States,Twitter for iPhone,"@keithp1978 @Nyarlathonic @realworldplease @kalpha7 @SenWarren They have two fix the total mess McConnell caused.  Tax Cuts ending for the wealthy, adding two the Supreme Court from nine to eleven.  Fixing DACA permanently.  Raising the National minimum wage.  These would be early on my list if I were Democrats with a majority.",2020-09-29T23:59:24+00:00
,Twitter Web App,"FOX interviewing woman saying she wants someone to unite the country and is growing tired of the 2 party system.  Says she couldn't vote last time.She wishes they would would wait on the Supreme Court like Obama did.  She was lying through her teeth, she is a die hard democrat!",2020-09-29T23:59:20+00:00
