user_country,source,content,date
Canada,Twitter Web App,@Mike_Pence @realDonaldTrump Even better than Biden beating Trump.  Will be Kamala wiping you up off the floor.  #BidenHarrisToSaveAmerica,2020-09-29T23:59:59+00:00
"Texas, USA",Twitter for iPhone,@Mike_Pence @realDonaldTrump Mike is just plain likable,2020-09-29T23:59:56+00:00
Arizona ,Twitter Web App,"@kit10phish @Mike_Pence @OcrazioCornPop @dougducey @realDonaldTrump @NoProp208AZ I have thought about it. However you put it or look at it, it will have a ripple effect on US the consumers. Still voting @NoProp208AZ https://t.co/32hItfGH0o",2020-09-29T23:59:56+00:00
,Twitter for iPhone,"@SPICYMOOSEBALLS @gnarlyballs @MilitaryStart4 @HeARTofGod99 @GODISBACK5 @THUNDERBOOM111 @toddhassinger11 @UNICORNPOOP99 @NoVaseline4you @chubbs172 @GIANTMOOSEBALLS @GeishaJin @SmomMan @ltc_mim @colonel_light @Espo11Michael @realDonaldTrump @VP @GenFlynn @FBI @CIA @NSAGov @USArmy @usairforce @USMC @USNavy @StateDept @FCC @FLOTUS @JamesGunn @SecretService @SecPompeo @GodHome99 @laura_dilley @parscale @USAF_ACC @thorofficial @AirMobilityCmd @RobLowe While ago now, Bowie picked my daughter up off the ground after crowd pushed her over barrier",2020-09-29T23:59:54+00:00
"Colorado, USA",Twitter Web App,@Mike_Pence @realDonaldTrump I actually feel a little sorry for Joe. He clearly isn't all there. How is he getting away with having a communication device? #CheckJoesEars,2020-09-29T23:59:52+00:00
"Central, PA",Twitter for Android,@Mike_Pence Don't forget your mask - Pa resident 😷,2020-09-29T23:59:52+00:00
Dover,Twitter Web App,@AdamParkhomenko Are you sure ya didn't confuse Mitch with Mike Pence?,2020-09-29T23:59:50+00:00
Australia,Twitter Web App,"@Mike_Pence @realDonaldTrump With you by his side, Trump is destined for the crapheap of history. 😆",2020-09-29T23:59:49+00:00
Argenzuela,Twitter for Android,@Mike_Pence @Leandromv1999 @realDonaldTrump We are with you VP Pence #ArgentinaSupportsTrump,2020-09-29T23:59:46+00:00
,Twitter for Android,"@Mike_Pence @realDonaldTrump Joe Biden is bringing communism into your country, communism guarantees complete and total collapse of the economic system except for those who are on the top, has been compromised by the CCP",2020-09-29T23:59:46+00:00
,Twitter Web App,@TeamCavuto @RepKevinBrady where is the call for his Russian Collusion and the 206K+ Americans #MURDERED by #urinalboy and his rubber stamp @vp... seems all you are Brady is complicit in this administration and its criminal activities... maybe we should investigate you.,2020-09-29T23:59:45+00:00
,Twitter Web App,@SPICYMOOSEBALLS @HeARTofGod99 @GODISBACK5 @gnarlyballs @THUNDERBOOM111 @toddhassinger11 @LLDMim @UNICORNPOOP99 @NoVaseline4you @chubbs172 @GIANTMOOSEBALLS @GeishaJin @SmomMan @ltc_mim @colonel_light @Espo11Michael @realDonaldTrump @VP @GenFlynn @FBI @CIA @NSAGov @USArmy @usairforce @USMC @USNavy @StateDept @FCC @FLOTUS @JamesGunn @SecretService @SecPompeo @GodHome99 @laura_dilley @parscale @USAF_ACC @thorofficial @AirMobilityCmd @RobLowe https://t.co/v0t5ExTSji CRYSTAL CLEAR? 759 921 111 0010110,2020-09-29T23:59:41+00:00
,Twitter for iPhone,@Mike_Pence @realDonaldTrump Kamala will chew you up and spit you out.,2020-09-29T23:59:39+00:00
"Orlando, FL",Twitter for iPhone,"@Mike_Pence @realDonaldTrump I think we all agree that a Depends(TM) check should absolutely be done before, not after the debate...",2020-09-29T23:59:39+00:00
,Twitter Web App,@Mike_Pence @realDonaldTrump President Trump Plays the Media Like a Fiddle  Audio editing by @MAL_IS_BAD_. https://t.co/LX5LQ2WQVo,2020-09-29T23:59:39+00:00
,Twitter Web App,@Mike_Pence I thought I blocked you?,2020-09-29T23:59:38+00:00
MA,Twitter for iPhone,@Mike_Pence @realDonaldTrump Baloney,2020-09-29T23:59:38+00:00
Michigan USA ,Twitter Web App,"@Scaramucci @DianeKelly @VP 😂💦 𝕃𝟘𝕃  There are only two groups of people who still support trump, billionaires and feckless benighted sheep; all you have to do is check your bank account to find out which you are!",2020-09-29T23:59:37+00:00
"San Diego, CA",Twitter for iPhone,@VP what would god say about your lack of care for your fellow man?  You are allowing people to die at the direction of a mad man.  You claim pro life but you don’t care once they are alive. You’re going to allow cruise ships to operate and place so many in harms way. #Hypocrite,2020-09-29T23:59:35+00:00
