user_country,source,content,date
Pennsylvana,Twitter Web App,"@snarkgrapefruit ""Fake news"" - 1 shot ""Hunter Biden"" - 1 shot ""Taxes"" - 1 shot ""$750"" - 2 shot ""200K Dead"" - 1 shot ""SCOTUS"" - 2 shots ""10M Jobs Added"" - 2 shots ""$1.1B Debt"" - 1 shot ""Russian Bounties"" - 2 shots ""Earpieces"" - 1 shot ""Adderall"" - 2 shots",2020-09-29T23:59:52+00:00
"Lakeland, FL",Twitter for Android,@Jubhamba @avanwuyckhuyse @thejtlewis @JoeBiden No one in there right mind would pay more taxes than they are required to do. Oh and here is what NYT didnt report. https://t.co/uFsTDRj5kV,2020-09-29T23:59:52+00:00
"North Carolina, USA",Twitter for iPhone,@howard_arnett @SpeakerPelosi He claimed the very tax credits that Obama afforded him to boost the economy. Obama offered a double tax credit in real estate. Do your research before you take a stand,2020-09-29T23:59:51+00:00
,Tweetbot for Mac,@DiggerD511 @SchlattCow @Donnafreebird1 @IvankaTrump @WSJ Trump takes more tax dollars than he contributes. I guess that is somehow patriotic? He won’t release his tax returns. What’s he hiding????,2020-09-29T23:59:50+00:00
FL,Twitter for Android,"@redviper3408 @BasedCorp @GovRonDeSantis @USDOT Wrong again. $750. Two years in a row. Not only that but c'mon, $70,000 for toupee implants? You trust that guy w/ your tax dollars? Even the maga crowd admits that money would have built a few feet of wall... Unless Bannon decided to buy a another foot or two of yacht.",2020-09-29T23:59:50+00:00
"Jaipur, India",WordPress.com,Biden and Harris release tax returns before debate https://t.co/eADPEXAw8g,2020-09-29T23:59:50+00:00
Philly Burbs,Twitter for iPhone,@SpeakerPelosi @mitchellreports Show your taxes #EvilOne hypocrite.  You’re 2nd in line &amp; haven’t shown your taxes!  #CrookedNancy #NancyAntoinette,2020-09-29T23:59:50+00:00
Canto XIII,Twitter for iPhone,I would rather win big in portions instead of getting a one big handpay at a casino cuz them taxes are hell lol,2020-09-29T23:59:49+00:00
"Nashville, TN",Twitter for Android,"@JenniferJJacobs Like Trump, #MoscowMarsha Won't release her taxes.  She helped Russian spy handler Torshin observe the 2012 election in her district.   She helped him meet the @NRA that gave her 💰 &amp; was busted for taking Torshin's 💰.  What's hiding in her wallet?  https://t.co/Mp9xpipe9a",2020-09-29T23:59:49+00:00
"Muskegon, MI",Twitter for iPhone,@realDonaldTrump Now bring up taxes!,2020-09-29T23:59:49+00:00
"New Orleans, LA",Twitter for iPhone,"@Soulhunter59 @Neeks8814 @Essentialworker @HamillHimself The only thing I’d say here is that it isn’t “free,” and I think this word has caused a lot of damage to our cause. The ‘conservative’ right sees it as “freeloading” off hard workers. It is indeed OUR HARD WORK, our tax money, subsidized. Nothing is free.",2020-09-29T23:59:49+00:00
"Florida, USA",Twitter for Android,"@Baldeagle311 @Themuzicree8ta @johnlundin For example they want to allocate money to drug users to get help, but if a drug addict doesn't want help in the first place then they aren't going to acknowledge the help, so that it wasted tax dollars. Instead prevent the drug use by actively being apart of the community.",2020-09-29T23:59:49+00:00
USA,Twitter for iPhone,"Tonight, when I talk into @JoeBiden's ear piece, I will remind him that I paid $34,000 less for my brand new SUV than the current occupant of the White House paid and wrote off as a tax deduction for one year of hair styling #Debates2020  #TrumpTaxReturns",2020-09-29T23:59:49+00:00
"Wherever I go, there I am",Twitter Web App,"@SteveGuest How does that compare to $70,000 worth of hair care that trump used to not give us tax dollars?  Any elitism there? 🤔",2020-09-29T23:59:48+00:00
,Twitter for iPhone,@lzinnober @HawleyMO The DNCs platform.....cause others of exactly what they’re are guilty of.......really?  Tax returns?  Military hate?  You have been tuned into CNN for so long you have no idea what is actually happening.  Nothing can stop what’s coming.,2020-09-29T23:59:48+00:00
"Chicago, IL",Twitter Web App,@CRNC And he can afford it without evading federal taxes!,2020-09-29T23:59:48+00:00
"North Carolina, USA",Twitter for iPhone,Trump’s taxes are full of red flags. He must disclose all his financial affairs. - The Washington Post-  Disclose Your Financial Affairs -  https://t.co/TsXp35unwQ,2020-09-29T23:59:48+00:00
,Twitter for Android,@richfish823 @L_DiPaolo Maybe 8f people like trump paid taxes yhings would be different,2020-09-29T23:59:48+00:00
,Twitter for iPad,"@Ilhan It’s called tax law.   Depreciation, loss carry over, etc.   laws passed by your congress.   All trump is doing is following the laws you and yours passed.   Oh wait, you don’t follow the laws... like voter fraud",2020-09-29T23:59:48+00:00
,Twitter for Android,"@SpeakerPelosi @mitchellreports Queen Nutsy ..He can sell any number of properties to pay any debt off. We'd like to know how CONGRESSMEN can be worth a quarter BILLION $$ if all they ever did was feed from the tax payer tit ? Obama, Clinton, Pelosi, Feinstein, Waters, Reid, Schumer, Sanders, barmaid Cortez etc",2020-09-29T23:59:47+00:00
,Twitter Web App,"@walkinabout @ScottAdamsSays They didn’t buy overseas. They stopped buying new, and started buying used, or not at all.  And you have to pay the tax when you bring the boat or plane into the country anyway, unless you’re a tax cheat, and falsify registration, like John Kerry did.",2020-09-29T23:59:47+00:00
"Garland, TX",Twitter for Android,"My 16 year old said he pays taxes without representation because he can't vote. I could not argue with that statement.  If you pay taxes, you should be allowed to vote. #changethevotingage",2020-09-29T23:59:47+00:00
"bishopville, md",Twitter for iPhone,@jfnies22 @AOC The article says that he made prepayments in line with expected income tax of 1 million and 4 million but that those liabilities were wiped out using business loses for those years.  That money would have been refunded. All except the $750 it says his final tax bill was.,2020-09-29T23:59:46+00:00
